,player_name,team,IsIndian,innings,runs_scored,balls_faced,fours,sixes,is_dismissed,balls_bowled,runs_given,wickets_taken,extra_runs_given,maiden_overs_bowled,catches_taken,stumpings,run_outs,fifty,century,Three_wicket_haul,Five_wicket_haul,retention,Batting_Average,Batting_Strike_Rate,Bowling_Average,Bowling_Economy,full_name,Day,Month,Year,age_at_auction,age_category,Visibility Score 2013,Visibility Score 2012,Visibility Score 2011,Average Sentiment Score 2013,Average Sentiment Score 2012,Average Sentiment Score 2011,Positive Mentions 2013,Positive Mentions 2012,Positive Mentions 2011,Negative Mentions 2013,Negative Mentions 2012,Negative Mentions 2011,Entertainment Score 2011,Entertainment Score 2012,Entertainment Score 2013
0,A Ashish Reddy,Deccan Chargers,1,9,35.0,30.0,3.0,1.0,4.0,169.0,238.0,11.0,9.0,0.0,0.0,0.0,1.0,0,0,1,0,0,8.75,116.67,21.64,8.45,Ashish Reddy,24,2,1991,23,Emerging,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,A Ashish Reddy,Sunrisers Hyderabad,1,10,125.0,90.0,8.0,5.0,6.0,41.0,71.0,3.0,2.0,0.0,6.0,0.0,0.0,0,0,0,0,0,20.83,138.89,23.67,10.39,Ashish Reddy,24,2,1991,23,Emerging,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,A Chandila,Rajasthan Royals,1,12,4.0,7.0,0.0,0.0,1.0,234.0,245.0,11.0,3.0,0.0,2.0,0.0,0.0,0,0,1,0,0,4.0,57.14,22.27,6.28,Ajit Chandila,12,5,1983,31,Experienced,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,A Mishra,Deccan Chargers,1,28,84.0,73.0,10.0,1.0,9.0,613.0,750.0,32.0,27.0,2.0,2.0,0.0,1.0,0,0,2,0,0,9.33,115.07,23.44,7.34,Amit Mishra,24,11,1982,32,Experienced,0.0,0.0070422535211267,0.0072727272727272,0.0,0.55,0.0285714285714285,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4,A Mishra,Sunrisers Hyderabad,1,17,89.0,103.0,9.0,0.0,3.0,376.0,395.0,24.0,5.0,1.0,1.0,0.0,1.0,0,0,5,0,0,29.67,86.41,16.46,6.3,Amit Mishra,24,11,1982,32,Experienced,0.0,0.0070422535211267,0.0072727272727272,0.0,0.55,0.0285714285714285,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5,A Mithun,Royal Challengers Bengaluru,1,14,29.0,22.0,3.0,1.0,4.0,265.0,396.0,7.0,24.0,0.0,7.0,0.0,1.0,0,0,0,0,0,7.25,131.82,56.57,8.97,Abhinav Mithun,25,10,1989,25,Emerging,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,A Mukund,Chennai Super Kings,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,,,,,Abhinav Mukund,1,6,1990,24,Emerging,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,A Mukund,Royal Challengers Bengaluru,1,1,19.0,22.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,19.0,86.36,,,Abhinav Mukund,1,6,1990,24,Emerging,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,A Nehra,Delhi Daredevils,1,10,1.0,8.0,0.0,0.0,4.0,221.0,319.0,13.0,12.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.25,12.5,24.54,8.66,Ashish Nehra,29,4,1979,35,Experienced,0.0020964360587002,0.0,0.0,0.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,A Nehra,Pune Warriors,1,13,11.0,13.0,1.0,0.0,1.0,291.0,411.0,12.0,12.0,0.0,1.0,0.0,0.0,0,0,2,0,0,11.0,84.62,34.25,8.47,Ashish Nehra,29,4,1979,35,Experienced,0.0020964360587002,0.0,0.0,0.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,A Singh,Rajasthan Royals,1,18,1.0,7.0,0.0,0.0,3.0,379.0,539.0,22.0,29.0,1.0,1.0,0.0,0.0,0,0,1,0,0,0.33,14.29,24.5,8.53,Arshdeep Singh,2,5,1999,15,Young,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,A Symonds,Mumbai Indians,0,9,135.0,143.0,9.0,3.0,3.0,24.0,41.0,1.0,0.0,0.0,5.0,0.0,1.0,0,0,0,0,0,45.0,94.41,41.0,10.25,Andrew Symonds,6,9,1975,39,Veteran,0.0,0.0,0.0036363636363636,0.0,0.0,0.65,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,AA Chavan,Rajasthan Royals,1,13,12.0,11.0,2.0,0.0,1.0,255.0,339.0,8.0,21.0,0.0,3.0,0.0,0.0,0,0,0,0,0,12.0,109.09,42.38,7.98,Ankit Chavan,28,10,1985,29,Peak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,AA Jhunjhunwala,Deccan Chargers,1,5,24.0,27.0,1.0,1.0,2.0,36.0,39.0,1.0,1.0,0.0,2.0,0.0,0.0,0,0,0,0,0,12.0,88.89,39.0,6.5,Abhishek Jhunjhunwala,12,1,1982,32,Experienced,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,AA Jhunjhunwala,Pune Warriors,1,3,10.0,19.0,2.0,0.0,2.0,13.0,22.0,0.0,1.0,0.0,4.0,0.0,0.0,0,0,0,0,0,5.0,52.63,,10.15,Abhishek Jhunjhunwala,12,1,1982,32,Experienced,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,AA Kazi,Royal Challengers Bengaluru,1,1,0.0,0.0,0.0,0.0,0.0,13.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,21.0,9.69,Abrar Kazi,29,9,1989,25,Emerging,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,AB Agarkar,Delhi Daredevils,1,15,19.0,23.0,1.0,0.0,1.0,317.0,463.0,13.0,15.0,1.0,3.0,0.0,1.0,0,0,1,0,0,19.0,82.61,35.62,8.76,Ajit Agarkar,12,4,1977,37,Veteran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
