,season,player_name,team,innings,runs_scored,balls_faced,fifty,century,fours,sixes,Batting_Average,Batting_Strike_Rate,is_dismissed,balls_bowled,runs_given,wickets_taken,extra_runs_given,maiden_overs_bowled,Three_wicket_haul,Five_wicket_haul,Bowling_Average,Bowling_Economy,catches_taken,stumpings,run_outs,Visibility Score,Average Sentiment Score,Positive Mentions,Negative Mentions,Player Name,Entertainment Score,full_name
0,2008,A Chopra,Kolkata Knight Riders,5,42.0,55.0,0,0,5.0,0.0,10.5,76.36,4.0,0.0,0.0,0.0,0.0,0.0,0,0,,,2.0,0.0,0.0,0.0038910505836575,0.0,0,0,A Chopra,0.0,Aakash Chopra
1,2009,A Chopra,Kolkata Knight Riders,2,11.0,20.0,0,0,2.0,0.0,11.0,55.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0.0,1.0,0.0057142857142857,-0.1666666666666666,0,1,A Chopra,0.0,Aakash Chopra
2,2008,A Kumble,Royal Challengers Bengaluru,10,13.0,17.0,0,0,1.0,0.0,13.0,76.47,1.0,236.0,314.0,8.0,20.0,0.0,1,0,39.25,7.98,3.0,0.0,0.0,0.0175097276264591,0.2342592592592592,4,0,A Kumble,0.0,Anil Kumble
3,2009,A Kumble,Royal Challengers Bengaluru,16,16.0,20.0,0,0,2.0,0.0,16.0,80.0,1.0,358.0,353.0,22.0,13.0,2.0,1,1,16.05,5.92,3.0,0.0,0.0,0.0095238095238095,0.0666666666666666,3,2,A Kumble,4.0,Anil Kumble
4,2010,A Kumble,Royal Challengers Bengaluru,16,6.0,12.0,0,0,0.0,0.0,,50.0,0.0,389.0,422.0,19.0,29.0,1.0,1,1,22.21,6.51,3.0,0.0,0.0,0.0,0.0,0,0,,,Anil Kumble
5,2008,A Mishra,Delhi Daredevils,6,37.0,42.0,0,0,3.0,0.0,9.25,88.1,4.0,123.0,140.0,11.0,6.0,0.0,0,1,12.73,6.83,0.0,0.0,0.0,0.0038910505836575,0.1711805555555555,2,0,A Mishra,0.0,Amit Mishra
6,2009,A Mishra,Delhi Daredevils,11,26.0,20.0,0,0,2.0,2.0,13.0,130.0,2.0,262.0,300.0,14.0,15.0,1.0,4,0,21.43,6.87,2.0,0.0,1.0,0.0057142857142857,0.146060606060606,1,2,A Mishra,0.0,Amit Mishra
7,2010,A Mishra,Delhi Daredevils,14,39.0,54.0,0,0,1.0,0.0,9.75,72.22,4.0,329.0,371.0,20.0,19.0,0.0,2,0,18.55,6.77,4.0,0.0,3.0,0.0137931034482758,0.0,0,0,A Mishra,0.0,Amit Mishra
8,2011,A Mishra,Deccan Chargers,14,68.0,52.0,0,0,9.0,1.0,11.33,130.77,6.0,324.0,369.0,19.0,15.0,2.0,1,0,19.42,6.83,1.0,0.0,0.0,0.0072727272727272,0.0285714285714285,2,0,A Mishra,0.0,Amit Mishra
9,2012,A Mishra,Deccan Chargers,14,16.0,21.0,0,0,1.0,0.0,5.33,76.19,3.0,289.0,381.0,13.0,12.0,0.0,1,0,29.31,7.91,1.0,0.0,1.0,0.0070422535211267,0.55,2,0,A Mishra,0.0,Amit Mishra
